Tract,Crime Against,GEO_ID,Count
100,PERSON,1400000US53033000100,849
100,PROPERTY,1400000US53033000100,3214
100,SOCIETY,1400000US53033000100,417
200,PERSON,1400000US53033000200,367
200,PROPERTY,1400000US53033000200,1934
200,SOCIETY,1400000US53033000200,129
300,PERSON,1400000US53033000300,185
300,PROPERTY,1400000US53033000300,1061
300,SOCIETY,1400000US53033000300,146
401,PERSON,1400000US53033000401,457
401,PROPERTY,1400000US53033000401,1911
401,SOCIETY,1400000US53033000401,109
402,PERSON,1400000US53033000402,183
402,PROPERTY,1400000US53033000402,1446
402,SOCIETY,1400000US53033000402,86
500,PERSON,1400000US53033000500,48
500,PROPERTY,1400000US53033000500,632
500,SOCIETY,1400000US53033000500,29
600,PERSON,1400000US53033000600,1056
600,PROPERTY,1400000US53033000600,4957
600,SOCIETY,1400000US53033000600,1290
700,PERSON,1400000US53033000700,387
700,PROPERTY,1400000US53033000700,1945
700,SOCIETY,1400000US53033000700,232
800,PERSON,1400000US53033000800,81
800,PROPERTY,1400000US53033000800,615
800,SOCIETY,1400000US53033000800,22
900,PERSON,1400000US53033000900,36
900,PROPERTY,1400000US53033000900,398
900,SOCIETY,1400000US53033000900,7
1000,PERSON,1400000US53033001000,116
1000,PROPERTY,1400000US53033001000,436
1000,SOCIETY,1400000US53033001000,27
1100,PERSON,1400000US53033001100,140
1100,PROPERTY,1400000US53033001100,779
1100,SOCIETY,1400000US53033001100,52
1200,PERSON,1400000US53033001200,851
1200,PROPERTY,1400000US53033001200,7643
1200,SOCIETY,1400000US53033001200,580
1300,PERSON,1400000US53033001300,623
1300,PROPERTY,1400000US53033001300,2728
1300,SOCIETY,1400000US53033001300,677
1400,PERSON,1400000US53033001400,268
1400,PROPERTY,1400000US53033001400,1843
1400,SOCIETY,1400000US53033001400,129
1500,PERSON,1400000US53033001500,41
1500,PROPERTY,1400000US53033001500,331
1500,SOCIETY,1400000US53033001500,12
1600,PERSON,1400000US53033001600,209
1600,PROPERTY,1400000US53033001600,1175
1600,SOCIETY,1400000US53033001600,76
1701,PERSON,1400000US53033001701,434
1701,PROPERTY,1400000US53033001701,2663
1701,SOCIETY,1400000US53033001701,247
1702,PERSON,1400000US53033001702,212
1702,PROPERTY,1400000US53033001702,1268
1702,SOCIETY,1400000US53033001702,76
1800,PERSON,1400000US53033001800,508
1800,PROPERTY,1400000US53033001800,2433
1800,SOCIETY,1400000US53033001800,622
1900,PERSON,1400000US53033001900,146
1900,PROPERTY,1400000US53033001900,1209
1900,SOCIETY,1400000US53033001900,59
2000,PERSON,1400000US53033002000,76
2000,PROPERTY,1400000US53033002000,945
2000,SOCIETY,1400000US53033002000,28
2100,PERSON,1400000US53033002100,124
2100,PROPERTY,1400000US53033002100,794
2100,SOCIETY,1400000US53033002100,32
2200,PERSON,1400000US53033002200,73
2200,PROPERTY,1400000US53033002200,961
2200,SOCIETY,1400000US53033002200,10
2400,PERSON,1400000US53033002400,66
2400,PROPERTY,1400000US53033002400,582
2400,SOCIETY,1400000US53033002400,16
2500,PERSON,1400000US53033002500,62
2500,PROPERTY,1400000US53033002500,822
2500,SOCIETY,1400000US53033002500,31
2600,PERSON,1400000US53033002600,177
2600,PROPERTY,1400000US53033002600,1745
2600,SOCIETY,1400000US53033002600,77
2700,PERSON,1400000US53033002700,212
2700,PROPERTY,1400000US53033002700,2132
2700,SOCIETY,1400000US53033002700,166
2800,PERSON,1400000US53033002800,168
2800,PROPERTY,1400000US53033002800,1550
2800,SOCIETY,1400000US53033002800,90
2900,PERSON,1400000US53033002900,54
2900,PROPERTY,1400000US53033002900,983
2900,SOCIETY,1400000US53033002900,20
3000,PERSON,1400000US53033003000,195
3000,PROPERTY,1400000US53033003000,2053
3000,SOCIETY,1400000US53033003000,95
3100,PERSON,1400000US53033003100,177
3100,PROPERTY,1400000US53033003100,1801
3100,SOCIETY,1400000US53033003100,55
3200,PERSON,1400000US53033003200,211
3200,PROPERTY,1400000US53033003200,2161
3200,SOCIETY,1400000US53033003200,103
3300,PERSON,1400000US53033003300,204
3300,PROPERTY,1400000US53033003300,1863
3300,SOCIETY,1400000US53033003300,100
3400,PERSON,1400000US53033003400,80
3400,PROPERTY,1400000US53033003400,966
3400,SOCIETY,1400000US53033003400,36
3500,PERSON,1400000US53033003500,101
3500,PROPERTY,1400000US53033003500,1206
3500,SOCIETY,1400000US53033003500,34
3600,PERSON,1400000US53033003600,271
3600,PROPERTY,1400000US53033003600,3082
3600,SOCIETY,1400000US53033003600,131
3800,PERSON,1400000US53033003800,24
3800,PROPERTY,1400000US53033003800,386
3800,SOCIETY,1400000US53033003800,5
3900,PERSON,1400000US53033003900,53
3900,PROPERTY,1400000US53033003900,627
3900,SOCIETY,1400000US53033003900,20
4000,PERSON,1400000US53033004000,219
4000,PROPERTY,1400000US53033004000,1184
4000,SOCIETY,1400000US53033004000,40
4100,PERSON,1400000US53033004100,46
4100,PROPERTY,1400000US53033004100,1358
4100,SOCIETY,1400000US53033004100,24
4200,PERSON,1400000US53033004200,228
4200,PROPERTY,1400000US53033004200,1727
4200,SOCIETY,1400000US53033004200,33
4301,PERSON,1400000US53033004301,177
4301,PROPERTY,1400000US53033004301,2138
4301,SOCIETY,1400000US53033004301,83
4302,PERSON,1400000US53033004302,114
4302,PROPERTY,1400000US53033004302,1446
4302,SOCIETY,1400000US53033004302,48
4400,PERSON,1400000US53033004400,433
4400,PROPERTY,1400000US53033004400,3882
4400,SOCIETY,1400000US53033004400,230
4500,PERSON,1400000US53033004500,73
4500,PROPERTY,1400000US53033004500,878
4500,SOCIETY,1400000US53033004500,53
4600,PERSON,1400000US53033004600,92
4600,PROPERTY,1400000US53033004600,1751
4600,SOCIETY,1400000US53033004600,49
4700,PERSON,1400000US53033004700,1176
4700,PROPERTY,1400000US53033004700,6364
4700,SOCIETY,1400000US53033004700,593
4800,PERSON,1400000US53033004800,151
4800,PROPERTY,1400000US53033004800,1931
4800,SOCIETY,1400000US53033004800,84
4900,PERSON,1400000US53033004900,415
4900,PROPERTY,1400000US53033004900,3405
4900,SOCIETY,1400000US53033004900,181
5000,PERSON,1400000US53033005000,193
5000,PROPERTY,1400000US53033005000,1522
5000,SOCIETY,1400000US53033005000,114
5100,PERSON,1400000US53033005100,160
5100,PROPERTY,1400000US53033005100,1518
5100,SOCIETY,1400000US53033005100,64
5200,PERSON,1400000US53033005200,378
5200,PROPERTY,1400000US53033005200,3119
5200,SOCIETY,1400000US53033005200,199
5301,PERSON,1400000US53033005301,1145
5301,PROPERTY,1400000US53033005301,5746
5301,SOCIETY,1400000US53033005301,989
5302,PERSON,1400000US53033005302,52
5302,PROPERTY,1400000US53033005302,301
5302,SOCIETY,1400000US53033005302,12
5400,PERSON,1400000US53033005400,213
5400,PROPERTY,1400000US53033005400,2574
5400,SOCIETY,1400000US53033005400,102
5600,PERSON,1400000US53033005600,82
5600,PROPERTY,1400000US53033005600,1196
5600,SOCIETY,1400000US53033005600,18
5700,PERSON,1400000US53033005700,115
5700,PROPERTY,1400000US53033005700,1690
5700,SOCIETY,1400000US53033005700,43
5801,PERSON,1400000US53033005801,182
5801,PROPERTY,1400000US53033005801,1407
5801,SOCIETY,1400000US53033005801,67
5802,PERSON,1400000US53033005802,330
5802,PROPERTY,1400000US53033005802,2111
5802,SOCIETY,1400000US53033005802,105
5900,PERSON,1400000US53033005900,149
5900,PROPERTY,1400000US53033005900,1608
5900,SOCIETY,1400000US53033005900,52
6000,PERSON,1400000US53033006000,175
6000,PROPERTY,1400000US53033006000,2202
6000,SOCIETY,1400000US53033006000,103
6100,PERSON,1400000US53033006100,109
6100,PROPERTY,1400000US53033006100,2220
6100,SOCIETY,1400000US53033006100,67
6200,PERSON,1400000US53033006200,90
6200,PROPERTY,1400000US53033006200,1625
6200,SOCIETY,1400000US53033006200,47
6300,PERSON,1400000US53033006300,75
6300,PROPERTY,1400000US53033006300,1244
6300,SOCIETY,1400000US53033006300,52
6400,PERSON,1400000US53033006400,63
6400,PROPERTY,1400000US53033006400,864
6400,SOCIETY,1400000US53033006400,35
6500,PERSON,1400000US53033006500,123
6500,PROPERTY,1400000US53033006500,1764
6500,SOCIETY,1400000US53033006500,118
6600,PERSON,1400000US53033006600,177
6600,PROPERTY,1400000US53033006600,2136
6600,SOCIETY,1400000US53033006600,119
6700,PERSON,1400000US53033006700,276
6700,PROPERTY,1400000US53033006700,3748
6700,SOCIETY,1400000US53033006700,149
6800,PERSON,1400000US53033006800,115
6800,PROPERTY,1400000US53033006800,1295
6800,SOCIETY,1400000US53033006800,49
6900,PERSON,1400000US53033006900,68
6900,PROPERTY,1400000US53033006900,1087
6900,SOCIETY,1400000US53033006900,17
7000,PERSON,1400000US53033007000,422
7000,PROPERTY,1400000US53033007000,3078
7000,SOCIETY,1400000US53033007000,183
7100,PERSON,1400000US53033007100,543
7100,PROPERTY,1400000US53033007100,3474
7100,SOCIETY,1400000US53033007100,246
7200,PERSON,1400000US53033007200,1536
7200,PROPERTY,1400000US53033007200,7682
7200,SOCIETY,1400000US53033007200,1179
7300,PERSON,1400000US53033007300,1308
7300,PROPERTY,1400000US53033007300,4866
7300,SOCIETY,1400000US53033007300,610
7401,PERSON,1400000US53033007401,248
7401,PROPERTY,1400000US53033007401,1526
7401,SOCIETY,1400000US53033007401,200
7402,PERSON,1400000US53033007402,617
7402,PROPERTY,1400000US53033007402,2263
7402,SOCIETY,1400000US53033007402,474
7500,PERSON,1400000US53033007500,2640
7500,PROPERTY,1400000US53033007500,9210
7500,SOCIETY,1400000US53033007500,1928
7600,PERSON,1400000US53033007600,215
7600,PROPERTY,1400000US53033007600,1397
7600,SOCIETY,1400000US53033007600,116
7700,PERSON,1400000US53033007700,257
7700,PROPERTY,1400000US53033007700,1461
7700,SOCIETY,1400000US53033007700,86
7800,PERSON,1400000US53033007800,154
7800,PROPERTY,1400000US53033007800,1764
7800,SOCIETY,1400000US53033007800,52
7900,PERSON,1400000US53033007900,588
7900,PROPERTY,1400000US53033007900,2220
7900,SOCIETY,1400000US53033007900,324
8001,PERSON,1400000US53033008001,792
8001,PROPERTY,1400000US53033008001,2969
8001,SOCIETY,1400000US53033008001,370
8002,PERSON,1400000US53033008002,538
8002,PROPERTY,1400000US53033008002,4115
8002,SOCIETY,1400000US53033008002,430
8100,PERSON,1400000US53033008100,5283
8100,PROPERTY,1400000US53033008100,19983
8100,SOCIETY,1400000US53033008100,5044
8200,PERSON,1400000US53033008200,898
8200,PROPERTY,1400000US53033008200,6510
8200,SOCIETY,1400000US53033008200,844
8300,PERSON,1400000US53033008300,546
8300,PROPERTY,1400000US53033008300,1697
8300,SOCIETY,1400000US53033008300,270
8400,PERSON,1400000US53033008400,772
8400,PROPERTY,1400000US53033008400,3841
8400,SOCIETY,1400000US53033008400,600
8500,PERSON,1400000US53033008500,1278
8500,PROPERTY,1400000US53033008500,2892
8500,SOCIETY,1400000US53033008500,591
8600,PERSON,1400000US53033008600,778
8600,PROPERTY,1400000US53033008600,2706
8600,SOCIETY,1400000US53033008600,348
8700,PERSON,1400000US53033008700,554
8700,PROPERTY,1400000US53033008700,1888
8700,SOCIETY,1400000US53033008700,197
8800,PERSON,1400000US53033008800,460
8800,PROPERTY,1400000US53033008800,1586
8800,SOCIETY,1400000US53033008800,176
8900,PERSON,1400000US53033008900,566
8900,PROPERTY,1400000US53033008900,2212
8900,SOCIETY,1400000US53033008900,205
9000,PERSON,1400000US53033009000,529
9000,PROPERTY,1400000US53033009000,4077
9000,SOCIETY,1400000US53033009000,440
9100,PERSON,1400000US53033009100,625
9100,PROPERTY,1400000US53033009100,4162
9100,SOCIETY,1400000US53033009100,784
9200,PERSON,1400000US53033009200,1856
9200,PROPERTY,1400000US53033009200,3107
9200,SOCIETY,1400000US53033009200,1033
9300,PERSON,1400000US53033009300,1748
9300,PROPERTY,1400000US53033009300,8064
9300,SOCIETY,1400000US53033009300,1070
9400,PERSON,1400000US53033009400,671
9400,PROPERTY,1400000US53033009400,3205
9400,SOCIETY,1400000US53033009400,398
9500,PERSON,1400000US53033009500,672
9500,PROPERTY,1400000US53033009500,3639
9500,SOCIETY,1400000US53033009500,375
9600,PERSON,1400000US53033009600,228
9600,PROPERTY,1400000US53033009600,1420
9600,SOCIETY,1400000US53033009600,76
9701,PERSON,1400000US53033009701,207
9701,PROPERTY,1400000US53033009701,1178
9701,SOCIETY,1400000US53033009701,56
9702,PERSON,1400000US53033009702,81
9702,PROPERTY,1400000US53033009702,789
9702,SOCIETY,1400000US53033009702,14
9800,PERSON,1400000US53033009800,251
9800,PROPERTY,1400000US53033009800,2080
9800,SOCIETY,1400000US53033009800,92
9900,PERSON,1400000US53033009900,394
9900,PROPERTY,1400000US53033009900,2178
9900,SOCIETY,1400000US53033009900,144
10001,PERSON,1400000US53033010001,287
10001,PROPERTY,1400000US53033010001,1475
10001,SOCIETY,1400000US53033010001,86
10002,PERSON,1400000US53033010002,216
10002,PROPERTY,1400000US53033010002,1216
10002,SOCIETY,1400000US53033010002,80
10100,PERSON,1400000US53033010100,724
10100,PROPERTY,1400000US53033010100,3514
10100,SOCIETY,1400000US53033010100,331
10200,PERSON,1400000US53033010200,181
10200,PROPERTY,1400000US53033010200,1773
10200,SOCIETY,1400000US53033010200,49
10300,PERSON,1400000US53033010300,617
10300,PROPERTY,1400000US53033010300,2939
10300,SOCIETY,1400000US53033010300,199
10401,PERSON,1400000US53033010401,277
10401,PROPERTY,1400000US53033010401,1133
10401,SOCIETY,1400000US53033010401,73
10402,PERSON,1400000US53033010402,291
10402,PROPERTY,1400000US53033010402,1364
10402,SOCIETY,1400000US53033010402,63
10500,PERSON,1400000US53033010500,420
10500,PROPERTY,1400000US53033010500,3340
10500,SOCIETY,1400000US53033010500,170
10600,PERSON,1400000US53033010600,231
10600,PROPERTY,1400000US53033010600,1928
10600,SOCIETY,1400000US53033010600,62
10701,PERSON,1400000US53033010701,333
10701,PROPERTY,1400000US53033010701,912
10701,SOCIETY,1400000US53033010701,64
10702,PERSON,1400000US53033010702,368
10702,PROPERTY,1400000US53033010702,1094
10702,SOCIETY,1400000US53033010702,58
10800,PERSON,1400000US53033010800,401
10800,PROPERTY,1400000US53033010800,1522
10800,SOCIETY,1400000US53033010800,97
10900,PERSON,1400000US53033010900,510
10900,PROPERTY,1400000US53033010900,2802
10900,SOCIETY,1400000US53033010900,341
11001,PERSON,1400000US53033011001,454
11001,PROPERTY,1400000US53033011001,1697
11001,SOCIETY,1400000US53033011001,132
11002,PERSON,1400000US53033011002,249
11002,PROPERTY,1400000US53033011002,1015
11002,SOCIETY,1400000US53033011002,83
11101,PERSON,1400000US53033011101,368
11101,PROPERTY,1400000US53033011101,1373
11101,SOCIETY,1400000US53033011101,99
11102,PERSON,1400000US53033011102,369
11102,PROPERTY,1400000US53033011102,1414
11102,SOCIETY,1400000US53033011102,138
11200,PERSON,1400000US53033011200,604
11200,PROPERTY,1400000US53033011200,2278
11200,SOCIETY,1400000US53033011200,286
11300,PERSON,1400000US53033011300,514
11300,PROPERTY,1400000US53033011300,2765
11300,SOCIETY,1400000US53033011300,178
11401,PERSON,1400000US53033011401,498
11401,PROPERTY,1400000US53033011401,1772
11401,SOCIETY,1400000US53033011401,113
11402,PERSON,1400000US53033011402,576
11402,PROPERTY,1400000US53033011402,3720
11402,SOCIETY,1400000US53033011402,457
11500,PERSON,1400000US53033011500,168
11500,PROPERTY,1400000US53033011500,1273
11500,SOCIETY,1400000US53033011500,51
11600,PERSON,1400000US53033011600,147
11600,PROPERTY,1400000US53033011600,1565
11600,SOCIETY,1400000US53033011600,48
11700,PERSON,1400000US53033011700,292
11700,PROPERTY,1400000US53033011700,1448
11700,SOCIETY,1400000US53033011700,82
11800,PERSON,1400000US53033011800,1272
11800,PROPERTY,1400000US53033011800,3897
11800,SOCIETY,1400000US53033011800,525
11900,PERSON,1400000US53033011900,407
11900,PROPERTY,1400000US53033011900,2223
11900,SOCIETY,1400000US53033011900,107
12000,PERSON,1400000US53033012000,99
12000,PROPERTY,1400000US53033012000,740
12000,SOCIETY,1400000US53033012000,22
12100,PERSON,1400000US53033012100,33
12100,PROPERTY,1400000US53033012100,371
12100,SOCIETY,1400000US53033012100,5
26001,PROPERTY,1400000US53033026001,2
26400,PERSON,1400000US53033026400,6
26400,PROPERTY,1400000US53033026400,49
26400,SOCIETY,1400000US53033026400,8
26500,PERSON,1400000US53033026500,93
26500,PROPERTY,1400000US53033026500,236
26500,SOCIETY,1400000US53033026500,36
0,PERSON,1600000US5363000,56179
0,SOCIETY,1600000US5363000,33010
0,PROPERTY,1600000US5363000,308410
